gid,year,mean,rank,District,Zone,Region,Country
18,1990,2.4185092971232875,5,Kalu, South Wollo,Amhara, Ethiopia
18,2002,2.421268963917808,6,Kalu, South Wollo,Amhara, Ethiopia
18,1991,2.4414350538356158,7,Kalu, South Wollo,Amhara, Ethiopia
18,1987,2.4564384549232883,8,Kalu, South Wollo,Amhara, Ethiopia
18,2009,2.466684139506849,9,Kalu, South Wollo,Amhara, Ethiopia
18,2004,2.5053685652431685,10,Kalu, South Wollo,Amhara, Ethiopia
19,2015,1.6162442705205482,1,Kelela, South Wollo,Amhara, Ethiopia
19,1984,1.6947816396174866,2,Kelela, South Wollo,Amhara, Ethiopia
19,2002,2.01743857339726,3,Kelela, South Wollo,Amhara, Ethiopia
19,1992,2.0213562732240447,4,Kelela, South Wollo,Amhara, Ethiopia
19,1987,2.0865813190684923,5,Kelela, South Wollo,Amhara, Ethiopia
19,1991,2.144536791726027,6,Kelela, South Wollo,Amhara, Ethiopia
19,1990,2.1846015044657534,7,Kelela, South Wollo,Amhara, Ethiopia
19,2014,2.18634566860274,8,Kelela, South Wollo,Amhara, Ethiopia
19,2011,2.1984766860821914,9,Kelela, South Wollo,Amhara, Ethiopia
19,2004,2.20343005125683,10,Kelela, South Wollo,Amhara, Ethiopia
20,1984,1.8868483988524605,1,Kombolcha, South Wollo,Amhara, Ethiopia
20,2015,2.1162756350684937,2,Kombolcha, South Wollo,Amhara, Ethiopia
20,2008,2.5093318457377047,3,Kombolcha, South Wollo,Amhara, Ethiopia
20,2011,2.530085552712329,4,Kombolcha, South Wollo,Amhara, Ethiopia
20,2004,2.5413403915300563,5,Kombolcha, South Wollo,Amhara, Ethiopia
20,1987,2.6371611284931498,6,Kombolcha, South Wollo,Amhara, Ethiopia
20,1991,2.722510160794521,7,Kombolcha, South Wollo,Amhara, Ethiopia
20,2002,2.7297614342465755,8,Kombolcha, South Wollo,Amhara, Ethiopia
20,1990,2.7338219767123286,9,Kombolcha, South Wollo,Amhara, Ethiopia
20,2009,2.7619032676712325,10,Kombolcha, South Wollo,Amhara, Ethiopia
21,1984,1.6914017869562843,1,Kutaber, South Wollo,Amhara, Ethiopia
21,2015,1.9844210463205496,2,Kutaber, South Wollo,Amhara, Ethiopia
21,2004,2.3394667060765024,3,Kutaber, South Wollo,Amhara, Ethiopia
21,2008,2.3401927547896184,4,Kutaber, South Wollo,Amhara, Ethiopia
21,2011,2.3900343531506847,5,Kutaber, South Wollo,Amhara, Ethiopia
21,1987,2.403426787205478,6,Kutaber, South Wollo,Amhara, Ethiopia
21,1991,2.4164469834246582,7,Kutaber, South Wollo,Amhara, Ethiopia
21,2009,2.4455504457260284,8,Kutaber, South Wollo,Amhara, Ethiopia
21,1990,2.4713306469315066,9,Kutaber, South Wollo,Amhara, Ethiopia
21,2002,2.5419754420328755,10,Kutaber, South Wollo,Amhara, Ethiopia
22,1984,1.9551826428770496,1,Legambo, South Wollo,Amhara, Ethiopia
22,2015,1.993522684246575,2,Legambo, South Wollo,Amhara, Ethiopia
22,2004,2.57348378453,3,Legambo, South Wollo,Amhara, Ethiopia
22,1990,2.6059801828986298,4,Legambo, South Wollo,Amhara, Ethiopia
22,1991,2.6372843141999995,5,Legambo, South Wollo,Amhara, Ethiopia
22,1987,2.6556722900657523,6,Legambo, South Wollo,Amhara, Ethiopia
22,2002,2.666415054621918,7,Legambo, South Wollo,Amhara, Ethiopia
22,2008,2.6818274791256838,8,Legambo, South Wollo,Amhara, Ethiopia
22,2011,2.7065167371095877,9,Legambo, South Wollo,Amhara, Ethiopia
22,2009,2.751009070956165,10,Legambo, South Wollo,Amhara, Ethiopia
23,1984,1.6026777151721312,1,Mekdela, South Wollo,Amhara, Ethiopia
23,2015,1.7524325770410962,2,Mekdela, South Wollo,Amhara, Ethiopia
23,2004,2.033825073456285,3,Mekdela, South Wollo,Amhara, Ethiopia
23,1987,2.093863937810958,4,Mekdela, South Wollo,Amhara, Ethiopia
23,1990,2.1034777554602746,5,Mekdela, South Wollo,Amhara, Ethiopia
23,2009,2.1678636175753407,6,Mekdela, South Wollo,Amhara, Ethiopia
23,1991,2.2049634352027403,7,Mekdela, South Wollo,Amhara, Ethiopia
23,1989,2.2591643506000008,8,Mekdela, South Wollo,Amhara, Ethiopia
23,2008,2.2643900768196725,9,Mekdela, South Wollo,Amhara, Ethiopia
23,1985,2.265703668290412,10,Mekdela, South Wollo,Amhara, Ethiopia
24,2015,1.8795523852493157,1,Sayint, South Wollo,Amhara, Ethiopia
24,1984,1.9382489437595625,2,Sayint, South Wollo,Amhara, Ethiopia
24,2004,2.2466841822630315,3,Sayint, South Wollo,Amhara, Ethiopia
24,1987,2.320934531267014,4,Sayint, South Wollo,Amhara, Ethiopia
24,1991,2.3359142175506844,5,Sayint, South Wollo,Amhara, Ethiopia
24,2002,2.3798318946106294,6,Sayint, South Wollo,Amhara, Ethiopia
24,1990,2.391544418783561,7,Sayint, South Wollo,Amhara, Ethiopia
24,2009,2.470248915567728,8,Sayint, South Wollo,Amhara, Ethiopia
24,1989,2.492463511756164,9,Sayint, South Wollo,Amhara, Ethiopia
24,1985,2.5066016571479457,10,Sayint, South Wollo,Amhara, Ethiopia
25,1981,,1,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1982,,2,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1983,,3,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1984,,4,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1985,,5,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1986,,6,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1987,,7,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1988,,8,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1989,,9,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1990,,10,WEREDA 01, Unknown, Addis Ababa, Ethiopia
26,1981,,1,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1982,,2,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1983,,3,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1984,,4,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1985,,5,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1986,,6,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1987,,7,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1988,,8,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1989,,9,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1990,,10,WEREDA 02, Unknown, Addis Ababa, Ethiopia
27,1981,,1,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1982,,2,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1983,,3,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1984,,4,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1985,,5,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1986,,6,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1987,,7,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1988,,8,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1989,,9,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1990,,10,WEREDA 03, Unknown, Addis Ababa, Ethiopia
28,1981,,1,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1982,,2,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1983,,3,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1984,,4,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1985,,5,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1986,,6,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1987,,7,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1988,,8,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1989,,9,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1990,,10,WEREDA 04, Unknown, Addis Ababa, Ethiopia
29,1981,,1,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1982,,2,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1983,,3,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1984,,4,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1985,,5,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1986,,6,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1987,,7,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1988,,8,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1989,,9,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1990,,10,WEREDA 07, Unknown, Addis Ababa, Ethiopia
30,2015,2.1986381038356155,1,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2014,2.397121573698631,2,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1997,2.570212836136987,3,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2002,2.749367108602739,4,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1992,2.7581952445081965,5,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1994,2.8797399701643824,6,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1985,2.9728559364383567,7,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2004,3.0099633630601073,8,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2013,3.03862822410959,9,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1999,3.0497183488493174,10,WEREDA 09, Unknown, Addis Ababa, Ethiopia
31,1981,,1,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1982,,2,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1983,,3,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1984,,4,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1985,,5,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1986,,6,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1987,,7,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1988,,8,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1989,,9,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1990,,10,WEREDA 13, Unknown, Addis Ababa, Ethiopia
32,1981,,1,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1982,,2,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1983,,3,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1984,,4,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1985,,5,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1986,,6,WEREDA 14, Unknown, Addis Ababa, Ethiopia
