gid,District,Zone,Region,Country
308,Darimu, Illubabor, Oromia, Ethiopia
309,Dedesa, Illubabor, Oromia, Ethiopia
310,Dega, Illubabor, Oromia, Ethiopia
311,Gechi, Illubabor, Oromia, Ethiopia
312,Metu, Illubabor, Oromia, Ethiopia
313,Nono, Illubabor, Oromia, Ethiopia
314,Supena Sodo, Illubabor, Oromia, Ethiopia
315,Yayu, Illubabor, Oromia, Ethiopia
316,Dedo, Jimma, Oromia, Ethiopia
317,Gera, Jimma, Oromia, Ethiopia
318,Goma, Jimma, Oromia, Ethiopia
319,Kersa, Jimma, Oromia, Ethiopia
320,Limu Kosa, Jimma, Oromia, Ethiopia
321,Limu Seka, Jimma, Oromia, Ethiopia
322,Mana, Jimma, Oromia, Ethiopia
323,Omonada, Jimma, Oromia, Ethiopia
324,Seka Chekorsa, Jimma, Oromia, Ethiopia
325,Sekoru, Jimma, Oromia, Ethiopia
326,Setema, Jimma, Oromia, Ethiopia
327,Sigmo, Jimma, Oromia, Ethiopia
328,Tiro Afeta, Jimma, Oromia, Ethiopia
329,Abichuna Gne'a, North Shewa (K4), Oromia, Ethiopia
330,Berehna Aleltu, North Shewa (K4), Oromia, Ethiopia
331,Degem, North Shewa (K4), Oromia, Ethiopia
332,Dera, North Shewa (K4), Oromia, Ethiopia
333,Gerar Jarso, North Shewa (K4), Oromia, Ethiopia
334,Hidabu Abote, North Shewa (K4), Oromia, Ethiopia
335,Kembibit, North Shewa (K4), Oromia, Ethiopia
336,Kuyu, North Shewa (K4), Oromia, Ethiopia
337,Mulona Sululta, North Shewa (K4), Oromia, Ethiopia
338,Wara Jarso, North Shewa (K4), Oromia, Ethiopia
339,Wuchalena Jido, North Shewa (K4), Oromia, Ethiopia
340,Yaya Gulelena Debre Libanos, North Shewa (K4), Oromia, Ethiopia
341,Anchar, West Harerghe, Oromia, Ethiopia
342,Boke, West Harerghe, Oromia, Ethiopia
343,Chiro, West Harerghe, Oromia, Ethiopia
344,Darolebu, West Harerghe, Oromia, Ethiopia
345,Doba, West Harerghe, Oromia, Ethiopia
346,Goba Koricha, West Harerghe, Oromia, Ethiopia
347,Habro, West Harerghe, Oromia, Ethiopia
348,Kuni, West Harerghe, Oromia, Ethiopia
349,Mesela, West Harerghe, Oromia, Ethiopia
350,Mieso, West Harerghe, Oromia, Ethiopia
351,Tulo, West Harerghe, Oromia, Ethiopia
352,Adda Berga, West Shewa, Oromia, Ethiopia
353,Alem Gena, West Shewa, Oromia, Ethiopia
354,Ambo, West Shewa, Oromia, Ethiopia
355,Ameya, West Shewa, Oromia, Ethiopia
356,Bako Tibe, West Shewa, Oromia, Ethiopia
357,Becho, West Shewa, Oromia, Ethiopia
358,Cheliya, West Shewa, Oromia, Ethiopia
359,Dano, West Shewa, Oromia, Ethiopia
360,Dawo, West Shewa, Oromia, Ethiopia
361,Dendi, West Shewa, Oromia, Ethiopia
362,Ejere (Addis Alem), West Shewa, Oromia, Ethiopia
363,Ginde Beret, West Shewa, Oromia, Ethiopia
364,Ilu, West Shewa, Oromia, Ethiopia
365,Jeldu, West Shewa, Oromia, Ethiopia
366,Kersana Kondaltiti, West Shewa, Oromia, Ethiopia
367,Kokir, West Shewa, Oromia, Ethiopia
368,Meta Robi, West Shewa, Oromia, Ethiopia
369,Nono, West Shewa, Oromia, Ethiopia
370,Tikur, West Shewa, Oromia, Ethiopia
371,Tole, West Shewa, Oromia, Ethiopia
372,Walisona Goro, West Shewa, Oromia, Ethiopia
373,Walmara, West Shewa, Oromia, Ethiopia
374,Wenchi, West Shewa, Oromia, Ethiopia
375,Anfilo, West Wellega, Oromia, Ethiopia
376,Ayra Guliso, West Wellega, Oromia, Ethiopia
