year,value,village
1981,216.0,SimretT
1982,130.0,SimretT
1983,133.0,SimretT
1984,126.0,SimretT
1985,234.0,SimretT
1986,219.0,SimretT
1987,124.0,SimretT
1988,183.0,SimretT
1989,165.0,SimretT
1990,122.0,SimretT
1991,156.0,SimretT
1992,153.0,SimretT
1993,186.0,SimretT
1994,196.0,SimretT
1995,199.0,SimretT
1996,186.0,SimretT
1997,197.0,SimretT
1998,162.0,SimretT
1999,205.0,SimretT
2000,155.0,SimretT
2001,193.0,SimretT
2002,125.0,SimretT
2003,216.0,SimretT
2004,207.0,SimretT
2005,182.0,SimretT
2006,168.0,SimretT
2007,204.0,SimretT
2008,147.0,SimretT
2009,185.0,SimretT
2010,199.0,SimretT
2011,170.0,SimretT
2012,206.0,SimretT
2013,171.0,SimretT
2014,208.0,SimretT
2015,110.0,SimretT
2016,195.0,SimretT
2017,184.0,SimretT
2018,196.0,SimretT
2019,205.0,SimretT
2020,177.38461538461542,SimretT
1981,268.0,Sinkata
1982,149.0,Sinkata
1983,121.0,Sinkata
1984,127.0,Sinkata
1985,155.0,Sinkata
1986,179.0,Sinkata
1987,111.0,Sinkata
1988,291.0,Sinkata
1989,78.0,Sinkata
1990,146.0,Sinkata
1991,126.0,Sinkata
1992,158.0,Sinkata
1993,180.0,Sinkata
1994,177.0,Sinkata
1995,273.0,Sinkata
1996,104.0,Sinkata
1997,162.0,Sinkata
1998,256.0,Sinkata
1999,165.0,Sinkata
2000,134.0,Sinkata
2001,237.0,Sinkata
2002,76.0,Sinkata
2003,176.0,Sinkata
2004,198.0,Sinkata
2005,155.0,Sinkata
2006,202.0,Sinkata
2007,207.0,Sinkata
2008,282.0,Sinkata
2009,103.0,Sinkata
2010,222.0,Sinkata
2011,202.0,Sinkata
2012,179.0,Sinkata
2013,145.0,Sinkata
2014,143.0,Sinkata
2015,97.0,Sinkata
2016,265.0,Sinkata
2017,121.0,Sinkata
2018,176.0,Sinkata
2019,78.0,Sinkata
2020,169.8461538461539,Sinkata
1981,192.0,Siye
1982,117.0,Siye
1983,129.0,Siye
1984,126.0,Siye
1985,230.0,Siye
1986,227.0,Siye
