Year,value,Village
2001,9.4,AdisAlemW
2002,1.3,AdisAlemW
2003,28.0,AdisAlemW
2004,2.2,AdisAlemW
2005,28.6,AdisAlemW
2006,19.9,AdisAlemW
2007,55.4,AdisAlemW
2008,41.0,AdisAlemW
2009,26.4,AdisAlemW
2010,46.7,AdisAlemW
2011,14.7,AdisAlemW
2012,31.6,AdisAlemW
2013,2.9,AdisAlemW
2014,16.0,AdisAlemW
1983,40.3654704126575,Adiselam
1984,-15.783646775331901,Adiselam
1985,42.451390680391896,Adiselam
1986,21.9126421114782,Adiselam
1987,12.6853841054352,Adiselam
1988,13.0884154975207,Adiselam
1989,33.045386006700696,Adiselam
1990,-1.66820536696285,Adiselam
1991,25.839824840848998,Adiselam
1992,16.895348824781102,Adiselam
1993,16.3821942960262,Adiselam
1994,7.463395595897701,Adiselam
1995,38.4892180873996,Adiselam
1996,27.2871876319135,Adiselam
1997,10.6827945637245,Adiselam
1998,31.3535763734015,Adiselam
1999,27.817822023631802,Adiselam
2000,3.2,Adiselam
2001,7.1,Adiselam
2002,1.8,Adiselam
2003,23.1,Adiselam
2004,2.2,Adiselam
2005,27.0,Adiselam
2006,20.8,Adiselam
2007,46.4,Adiselam
2008,32.9,Adiselam
2009,24.2,Adiselam
2010,41.6,Adiselam
2011,13.6,Adiselam
2012,27.7,Adiselam
2013,2.3,Adiselam
2014,18.0,Adiselam
1983,57.8204810855093,Adishimbirkti
1984,30.512561658431398,Adishimbirkti
1985,54.691160803587294,Adishimbirkti
1986,71.9884176895026,Adishimbirkti
1987,87.8227469907536,Adishimbirkti
1988,30.2423065867736,Adishimbirkti
1989,115.777533324548,Adishimbirkti
1990,29.2369144614952,Adishimbirkti
1991,62.95111345182261,Adishimbirkti
1992,80.17934285910691,Adishimbirkti
1993,69.9781182348518,Adishimbirkti
1994,-5.0252530707032195,Adishimbirkti
1995,63.11862908337871,Adishimbirkti
1996,106.815894540213,Adishimbirkti
1997,98.86259394858659,Adishimbirkti
1998,33.0025480161777,Adishimbirkti
1999,54.269313781289505,Adishimbirkti
2000,40.5,Adishimbirkti
2001,19.9,Adishimbirkti
2002,14.4,Adishimbirkti
2003,107.9,Adishimbirkti
2004,53.2,Adishimbirkti
2005,88.3,Adishimbirkti
2006,99.5,Adishimbirkti
2007,100.2,Adishimbirkti
2008,102.8,Adishimbirkti
2009,72.2,Adishimbirkti
2010,82.5,Adishimbirkti
2011,21.8,Adishimbirkti
2012,85.2,Adishimbirkti
2013,25.1,Adishimbirkti
2014,55.6,Adishimbirkti
1983,102.977486370472,AdisKigni
1984,33.241310986890504,AdisKigni
1985,88.09492715231121,AdisKigni
1986,114.801069576153,AdisKigni
1987,108.804867435084,AdisKigni
1988,32.4926917175567,AdisKigni
1989,101.487617975277,AdisKigni
1990,62.104706620959604,AdisKigni
1991,73.7012405448455,AdisKigni
1992,88.790489532445,AdisKigni
1993,75.7880905613457,AdisKigni
1994,6.39314060485279,AdisKigni
1995,92.6235749237278,AdisKigni
1996,98.0172983751551,AdisKigni
1997,88.25503435747959,AdisKigni
1998,39.097398963924796,AdisKigni
1999,84.50762179419121,AdisKigni
2000,69.9,AdisKigni
2001,30.3,AdisKigni
2002,29.0,AdisKigni
2003,98.1,AdisKigni
2004,60.7,AdisKigni
2005,111.3,AdisKigni
2006,113.9,AdisKigni
2007,115.4,AdisKigni
2008,111.6,AdisKigni
2009,73.4,AdisKigni
2010,98.0,AdisKigni
2011,70.7,AdisKigni
2012,93.5,AdisKigni
2013,34.3,AdisKigni
2014,108.4,AdisKigni
1983,21.1785334011627,Adiyikoro
1984,0.679936699475839,Adiyikoro
1985,24.5813899831884,Adiyikoro
1986,11.195602829145601,Adiyikoro
1987,40.1988883861786,Adiyikoro
1988,22.6078003707081,Adiyikoro
1989,16.5966522680672,Adiyikoro
1990,-6.32580818016186,Adiyikoro
1991,23.6415614959583,Adiyikoro
1992,43.9082233739154,Adiyikoro
1993,8.967947060046859,Adiyikoro
1994,21.3733895519898,Adiyikoro
1995,18.4172151075886,Adiyikoro
