gid,year,mean,rank,district,Zone,region,Country
32,2011,0.156769236,7,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,2009,0.17942596,6,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1985,0.188911426,5,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,2002,0.189917328,4,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1997,0.209569219,3,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1992,0.252160258,2,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1987,0.280221339,1,WEREDA 14, Unknown, Addis Ababa, Ethiopia
33,1991,0.066169839,10,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1984,0.084068288,9,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1993,0.103968769,8,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1985,0.12270612,7,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1987,0.130570666,6,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1983,0.153064666,5,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,2012,0.179244836,4,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,2009,0.183173535,3,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1990,0.183895356,2,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,2011,0.18593331,1,WEREDA 18, Unknown, Addis Ababa, Ethiopia
34,1984,0.163604957,10,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,2009,0.370894674,9,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1991,0.371637603,8,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1990,0.406073556,7,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1983,0.413844769,6,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,2011,0.416886382,5,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,2002,0.430068551,4,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1997,0.434562028,3,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,2005,0.510612003,2,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1996,0.524696673,1,WEREDA 22, Unknown, Addis Ababa, Ethiopia
35,1984,0.277772437,10,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1987,0.320438885,9,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1990,0.330735609,8,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1991,0.355948259,7,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1985,0.398924734,6,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1983,0.402313695,5,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,2008,0.498437418,4,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1989,0.529256757,3,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,2004,0.611608232,2,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,2002,0.638679784,1,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
