gid,time,mean,a,order
43,2001,3.6363478459016387,WEREDA 28,7
43,2014,3.8819190459016384,WEREDA 28,8
43,2015,3.954159551475411,WEREDA 28,9
43,2003,3.9624089844262302,WEREDA 28,10
44,2004,2.672089721311475,WEREDA 11,1
44,2000,3.0804396147540976,WEREDA 11,2
44,2002,3.1442094827868856,WEREDA 11,3
44,2001,3.554502642622951,WEREDA 11,4
44,2011,3.581976381147542,WEREDA 11,5
44,2005,3.6237993442622947,WEREDA 11,6
44,1987,4.0219442600000015,WEREDA 11,7
44,2015,4.159406416393442,WEREDA 11,8
44,2003,4.38951237704918,WEREDA 11,9
44,2014,4.446607775409838,WEREDA 11,10
45,2004,2.672089721311475,WEREDA 12,1
45,2000,3.0804396147540976,WEREDA 12,2
45,2002,3.1442094827868856,WEREDA 12,3
45,2001,3.554502642622951,WEREDA 12,4
45,2011,3.581976381147542,WEREDA 12,5
45,2005,3.6237993442622947,WEREDA 12,6
45,1987,4.0219442600000015,WEREDA 12,7
45,2015,4.159406416393442,WEREDA 12,8
45,2003,4.38951237704918,WEREDA 12,9
45,2014,4.446607775409838,WEREDA 12,10
46,1983,,WEREDA 15,1
46,1984,,WEREDA 15,2
46,1985,,WEREDA 15,3
46,1986,,WEREDA 15,4
46,1987,,WEREDA 15,5
46,1988,,WEREDA 15,6
46,1989,,WEREDA 15,7
46,1990,,WEREDA 15,8
46,1991,,WEREDA 15,9
46,1992,,WEREDA 15,10
47,2004,2.2041131032786883,WEREDA 16,1
47,2002,2.7911160385245903,WEREDA 16,2
47,2000,2.9020530557377056,WEREDA 16,3
47,2011,3.3307405491803275,WEREDA 16,4
47,1987,3.472437166086955,WEREDA 16,5
47,2001,3.5184433844262286,WEREDA 16,6
47,2005,3.6280332844262304,WEREDA 16,7
47,2014,3.774856020491804,WEREDA 16,8
47,2003,3.9973706467213113,WEREDA 16,9
47,2015,4.09888115,WEREDA 16,10
48,2004,2.5793430295081965,WEREDA 08,1
48,2000,3.3391452303278686,WEREDA 08,2
48,2002,3.4527041836065577,WEREDA 08,3
48,2001,3.4806526991803275,WEREDA 08,4
48,2011,3.7876601524590177,WEREDA 08,5
48,1987,3.8560585660869577,WEREDA 08,6
48,2005,4.199192420491803,WEREDA 08,7
48,2003,4.252437909016392,WEREDA 08,8
48,2015,4.2817583081967205,WEREDA 08,9
48,1997,4.345553439344261,WEREDA 08,10
49,2004,2.7924290581967224,WEREDA 10,1
49,2000,3.133964360655737,WEREDA 10,2
49,2001,3.411845061475411,WEREDA 10,3
49,2002,3.7047796196721317,WEREDA 10,4
49,2011,3.8088673852459016,WEREDA 10,5
49,1995,4.1680239194915245,WEREDA 10,6
49,1987,4.234283504347827,WEREDA 10,7
49,2005,4.310724678688526,WEREDA 10,8
49,2015,4.373133018852462,WEREDA 10,9
49,2003,4.395700278688525,WEREDA 10,10
50,2004,2.3663162377049174,WEREDA 25,1
50,2002,3.2006987655737698,WEREDA 25,2
50,1987,3.4779388321739133,WEREDA 25,3
50,2000,3.5442691581967227,WEREDA 25,4
50,2001,3.5494412836065576,WEREDA 25,5
50,2011,3.76645875,WEREDA 25,6
50,2005,4.087690918032788,WEREDA 25,7
50,2003,4.109215246721312,WEREDA 25,8
50,2014,4.162425231967212,WEREDA 25,9
50,1997,4.183089301639345,WEREDA 25,10
51,2004,2.136244905163935,WEREDA 26,1
51,2000,2.7051425522131147,WEREDA 26,2
51,2002,2.759467579508197,WEREDA 26,3
51,2005,3.0517734040983613,WEREDA 26,4
51,2015,3.2228439598360663,WEREDA 26,5
51,2001,3.2794496081967206,WEREDA 26,6
51,1987,3.3249104634782616,WEREDA 26,7
51,2011,3.3950482836065583,WEREDA 26,8
51,2009,3.5074463234426227,WEREDA 26,9
51,2003,3.510383522131148,WEREDA 26,10
52,2004,2.1019765926229512,WEREDA 27,1
52,2000,2.702220485245901,WEREDA 27,2
52,2002,2.9234824,WEREDA 27,3
52,2005,3.1425032213114763,WEREDA 27,4
52,2015,3.281371081147542,WEREDA 27,5
52,2001,3.301149359836065,WEREDA 27,6
52,1987,3.43118309652174,WEREDA 27,7
52,2003,3.4835460795081974,WEREDA 27,8
52,2011,3.5216805983606547,WEREDA 27,9
52,2009,3.66142974590164,WEREDA 27,10
53,1984,0.25437712,Afambo,1
53,1987,0.5005992269565217,Afambo,2
53,2009,0.8016098139344263,Afambo,3
53,2002,0.8465148338524591,Afambo,4
53,1990,0.8690423917355371,Afambo,5
53,2011,0.8713670786885247,Afambo,6
53,2004,0.9128991790983606,Afambo,7
53,2005,1.066737413114754,Afambo,8
53,1997,1.0729036822131146,Afambo,9
53,1991,1.1099371636363635,Afambo,10
54,1984,0.3333822852173913,Aysaita,1
54,1987,0.6129165722608696,Aysaita,2
54,1990,0.6856597252066117,Aysaita,3
54,1985,0.8187085941176472,Aysaita,4
54,2011,0.9256037404098358,Aysaita,5
54,1997,0.9693848090163936,Aysaita,6
54,2004,1.002700372680328,Aysaita,7
54,2002,1.0494555954918032,Aysaita,8
54,2009,1.1172834342622953,Aysaita,9
54,2005,1.1944070733606555,Aysaita,10
55,1984,0.6576556187995652,Chifra,1
55,1987,1.1531353597478262,Chifra,2
55,1993,1.4308586615689654,Chifra,3
55,2004,1.5301383694344262,Chifra,4
55,1990,1.5661560177272724,Chifra,5
55,2011,1.7529430822131151,Chifra,6
55,2005,1.7903815500737703,Chifra,7
55,2002,1.9044385123770493,Chifra,8
55,1997,1.9208180071065573,Chifra,9
55,2009,1.9772449161728691,Chifra,10
56,1984,0.4363693818347826,Dubti,1
56,1987,0.7936670979999999,Dubti,2
56,1990,0.921015652892562,Dubti,3
56,2004,1.2047997718852463,Dubti,4
56,2011,1.2831666893770493,Dubti,5
56,1985,1.3175714126134452,Dubti,6
56,2002,1.4273727483606558,Dubti,7
56,2005,1.4330153106557368,Dubti,8
56,2009,1.4523028390983606,Dubti,9
56,1991,1.4783186494214873,Dubti,10
57,1984,0.5466466682434783,Elidar,1
57,1987,0.6226493049006085,Elidar,2
57,2004,0.6692339446860656,Elidar,3
57,1991,0.6988731355454545,Elidar,4
57,2012,0.7024524010389339,Elidar,5
57,1990,0.7908001999173552,Elidar,6
57,2011,0.9366918064277864,Elidar,7
57,1985,0.9697485436974792,Elidar,8
57,1983,1.0880797546814158,Elidar,9
57,2005,1.1042378896147542,Elidar,10
58,1984,0.5191366357478262,Mille,1
58,1987,0.7964619659043477,Mille,2
58,1993,1.1667569021810344,Mille,3
58,2011,1.2213198731885249,Mille,4
58,1990,1.308910178256198,Mille,5
58,2004,1.3103755199999996,Mille,6
58,2002,1.4514844208524595,Mille,7
58,1997,1.6642967737377043,Mille,8
58,2008,1.695602266819672,Mille,9
58,2005,1.7651782197213115,Mille,10
59,1984,0.6255176444173912,Abala,1
59,2004,0.7251306643770494,Abala,2
59,1991,0.7376347755289259,Abala,3
