year,District,value
2002,Luanshya,275
2003,Luanshya,270.93913
2004,Luanshya,261.9988
2005,Luanshya,275
2006,Luanshya,262.12673
2007,Luanshya,247.256259
2008,Luanshya,263.30394
2009,Luanshya,275
2010,Luanshya,275
2011,Luanshya,275
2012,Luanshya,259.906647
2013,Luanshya,257.010957
2014,Luanshya,261.32246
2015,Luanshya,275
2016,Luanshya,264.96492
2017,Luanshya,275
2018,Luanshya,265.21573
2019,Luanshya,267.74744
1981,Lufwanyama,259.97568
1982,Lufwanyama,265.36219
1983,Lufwanyama,273.30961
1984,Lufwanyama,271.20417
1985,Lufwanyama,275
1986,Lufwanyama,269.81002
1987,Lufwanyama,264.05047
1988,Lufwanyama,275
1989,Lufwanyama,263.86125
1990,Lufwanyama,275
1991,Lufwanyama,275
1992,Lufwanyama,275
1993,Lufwanyama,250.46881
1994,Lufwanyama,258.921426
1995,Lufwanyama,264.24038
1996,Lufwanyama,268.13366
1997,Lufwanyama,273.8687
1998,Lufwanyama,275
1999,Lufwanyama,275
2000,Lufwanyama,275
2001,Lufwanyama,275
2002,Lufwanyama,275
2003,Lufwanyama,267.10006
2004,Lufwanyama,268.67625
2005,Lufwanyama,275
2006,Lufwanyama,269.80286
2007,Lufwanyama,246.681512
2008,Lufwanyama,263.78911
2009,Lufwanyama,275
2010,Lufwanyama,275
2011,Lufwanyama,275
2012,Lufwanyama,263.61665
2013,Lufwanyama,264.42026
2014,Lufwanyama,267.78285
2015,Lufwanyama,275
2016,Lufwanyama,260.18134
2017,Lufwanyama,275
2018,Lufwanyama,270.43299
2019,Lufwanyama,275
1981,Masaiti,241.724222
1982,Masaiti,271.37199
1983,Masaiti,275
1984,Masaiti,270.65893
1985,Masaiti,271.71318
1986,Masaiti,271.47047
1987,Masaiti,261.87662
1988,Masaiti,275
1989,Masaiti,263.43871
1990,Masaiti,275
1991,Masaiti,275
1992,Masaiti,275
1993,Masaiti,237.447537
1994,Masaiti,262.85844
1995,Masaiti,266.41212
1996,Masaiti,270.76463
1997,Masaiti,261.89551
1998,Masaiti,275
1999,Masaiti,275
2000,Masaiti,275
2001,Masaiti,273.89007
2002,Masaiti,275
2003,Masaiti,268.92863
2004,Masaiti,257.55631
2005,Masaiti,275
2006,Masaiti,260.2623
2007,Masaiti,250.890532
2008,Masaiti,267.67782
2009,Masaiti,275
2010,Masaiti,275
2011,Masaiti,275
2012,Masaiti,261.54468
2013,Masaiti,258.358015
2014,Masaiti,262.70435
2015,Masaiti,275
2016,Masaiti,259.457894
2017,Masaiti,275
2018,Masaiti,261.59986
2019,Masaiti,271.76463
1981,Mpongwe,236.630993
1982,Mpongwe,264.26546
1983,Mpongwe,270.22473
1984,Mpongwe,263.00686
1985,Mpongwe,269.73278
1986,Mpongwe,265.44962
1987,Mpongwe,257.769943
1988,Mpongwe,275
1989,Mpongwe,259.211197
1990,Mpongwe,275
1991,Mpongwe,275
1992,Mpongwe,275
1993,Mpongwe,222.70078
1994,Mpongwe,256.978448
1995,Mpongwe,258.249854
1996,Mpongwe,260.4895
1997,Mpongwe,257.919489
1998,Mpongwe,275
1999,Mpongwe,275
2000,Mpongwe,275
2001,Mpongwe,264.38977
2002,Mpongwe,275
2003,Mpongwe,267.62089
2004,Mpongwe,259.685942
2005,Mpongwe,275
2006,Mpongwe,257.180206
2007,Mpongwe,242.569493
2008,Mpongwe,262.96349
2009,Mpongwe,275
2010,Mpongwe,275
2011,Mpongwe,275
2012,Mpongwe,253.658041
2013,Mpongwe,257.378247
2014,Mpongwe,258.216513
2015,Mpongwe,275
2016,Mpongwe,255.426614
2017,Mpongwe,275
2018,Mpongwe,258.29055
2019,Mpongwe,274.8116
1981,Mufulira,263.18508
1982,Mufulira,264.11674
1983,Mufulira,265.6803
1984,Mufulira,275
1985,Mufulira,275
1986,Mufulira,261.49415
1987,Mufulira,263.01748
1988,Mufulira,275
1989,Mufulira,260.36733
1990,Mufulira,275
1991,Mufulira,275
1992,Mufulira,275
1993,Mufulira,266.3667
1994,Mufulira,274.80712
1995,Mufulira,273.94873
1996,Mufulira,275
1997,Mufulira,274.99469
1998,Mufulira,275
1999,Mufulira,275
2000,Mufulira,275
2001,Mufulira,275
2002,Mufulira,275
2003,Mufulira,269.64904
2004,Mufulira,275
2005,Mufulira,275
2006,Mufulira,268.67976
2007,Mufulira,249.920585
2008,Mufulira,264.74647
2009,Mufulira,275
2010,Mufulira,275
2011,Mufulira,275
2012,Mufulira,262.41249
2013,Mufulira,266.71346
2014,Mufulira,274.87893
2015,Mufulira,275
2016,Mufulira,261.80769
2017,Mufulira,275
2018,Mufulira,275
2019,Mufulira,275
1981,Ndola,250.613878
1982,Ndola,269.53589
1983,Ndola,274.52657
1984,Ndola,275
1985,Ndola,275
1986,Ndola,265.92797
1987,Ndola,266.15189
1988,Ndola,275
1989,Ndola,256.57548
1990,Ndola,275
1991,Ndola,275
1992,Ndola,275
1993,Ndola,245.014917
1994,Ndola,267.98884
1995,Ndola,271.17067
1996,Ndola,269.44266
1997,Ndola,269.89318
1998,Ndola,275
1999,Ndola,275
2000,Ndola,275
2001,Ndola,275
2002,Ndola,275
2003,Ndola,273.07026
2004,Ndola,259.86075
2005,Ndola,275
2006,Ndola,265.6053
2007,Ndola,247.476571
2008,Ndola,265.69002
2009,Ndola,275
2010,Ndola,275
2011,Ndola,275
2012,Ndola,260.71542
2013,Ndola,259.153314
2014,Ndola,263.42041
2015,Ndola,275
2016,Ndola,266.4191
2017,Ndola,275
2018,Ndola,271.20765
2019,Ndola,269.68483
1981,Chadiza,242.63895
1982,Chadiza,254.97484
1983,Chadiza,266.50451
1984,Chadiza,270.06326
1985,Chadiza,262.44939
1986,Chadiza,255.95223
1987,Chadiza,270.87447
1988,Chadiza,275
1989,Chadiza,244.905517
1990,Chadiza,275
1991,Chadiza,253.61585
1992,Chadiza,260.43282
1993,Chadiza,224.481041
