gid,year,mean,rank,district,Zone,Kwilu,Country
21,1984,1.691401787,10,Kutaber, South Wollo,Amhara, Ethiopia
21,2015,1.984421046,9,Kutaber, South Wollo,Amhara, Ethiopia
21,2004,2.339466706,8,Kutaber, South Wollo,Amhara, Ethiopia
21,2008,2.340192755,7,Kutaber, South Wollo,Amhara, Ethiopia
21,2011,2.390034353,6,Kutaber, South Wollo,Amhara, Ethiopia
21,1987,2.403426787,5,Kutaber, South Wollo,Amhara, Ethiopia
21,1991,2.416446983,4,Kutaber, South Wollo,Amhara, Ethiopia
21,2009,2.445550446,3,Kutaber, South Wollo,Amhara, Ethiopia
21,1990,2.471330647,2,Kutaber, South Wollo,Amhara, Ethiopia
21,2002,2.541975442,1,Kutaber, South Wollo,Amhara, Ethiopia
22,1984,1.955182643,10,Legambo, South Wollo,Amhara, Ethiopia
22,2015,1.993522684,9,Legambo, South Wollo,Amhara, Ethiopia
22,2004,2.573483785,8,Legambo, South Wollo,Amhara, Ethiopia
22,1990,2.605980183,7,Legambo, South Wollo,Amhara, Ethiopia
22,1991,2.637284314,6,Legambo, South Wollo,Amhara, Ethiopia
22,1987,2.65567229,5,Legambo, South Wollo,Amhara, Ethiopia
22,2002,2.666415055,4,Legambo, South Wollo,Amhara, Ethiopia
22,2008,2.681827479,3,Legambo, South Wollo,Amhara, Ethiopia
22,2011,2.706516737,2,Legambo, South Wollo,Amhara, Ethiopia
22,2009,2.751009071,1,Legambo, South Wollo,Amhara, Ethiopia
23,1984,1.602677715,10,Mekdela, South Wollo,Amhara, Ethiopia
23,2015,1.752432577,9,Mekdela, South Wollo,Amhara, Ethiopia
23,2004,2.033825073,8,Mekdela, South Wollo,Amhara, Ethiopia
23,1987,2.093863938,7,Mekdela, South Wollo,Amhara, Ethiopia
23,1990,2.103477755,6,Mekdela, South Wollo,Amhara, Ethiopia
23,2009,2.167863618,5,Mekdela, South Wollo,Amhara, Ethiopia
23,1991,2.204963435,4,Mekdela, South Wollo,Amhara, Ethiopia
23,1989,2.259164351,3,Mekdela, South Wollo,Amhara, Ethiopia
23,2008,2.264390077,2,Mekdela, South Wollo,Amhara, Ethiopia
23,1985,2.265703668,1,Mekdela, South Wollo,Amhara, Ethiopia
24,2015,1.879552385,10,Sayint, South Wollo,Amhara, Ethiopia
24,1984,1.938248944,9,Sayint, South Wollo,Amhara, Ethiopia
24,2004,2.246684182,8,Sayint, South Wollo,Amhara, Ethiopia
24,1987,2.320934531,7,Sayint, South Wollo,Amhara, Ethiopia
24,1991,2.335914218,6,Sayint, South Wollo,Amhara, Ethiopia
24,2002,2.379831895,5,Sayint, South Wollo,Amhara, Ethiopia
24,1990,2.391544419,4,Sayint, South Wollo,Amhara, Ethiopia
24,2009,2.470248916,3,Sayint, South Wollo,Amhara, Ethiopia
24,1989,2.492463512,2,Sayint, South Wollo,Amhara, Ethiopia
24,1985,2.506601657,1,Sayint, South Wollo,Amhara, Ethiopia
82,2003,3.62610512,10,Ankesha, Awi,Amhara, Ethiopia
82,2009,3.64244979,9,Ankesha, Awi,Amhara, Ethiopia
82,2002,3.700999756,8,Ankesha, Awi,Amhara, Ethiopia
82,1983,3.804012547,7,Ankesha, Awi,Amhara, Ethiopia
82,2004,3.858389012,6,Ankesha, Awi,Amhara, Ethiopia
82,1986,3.900694187,5,Ankesha, Awi,Amhara, Ethiopia
82,1990,3.916382561,4,Ankesha, Awi,Amhara, Ethiopia
82,2005,3.920591427,3,Ankesha, Awi,Amhara, Ethiopia
82,2011,3.923822624,2,Ankesha, Awi,Amhara, Ethiopia
82,2001,3.944291709,1,Ankesha, Awi,Amhara, Ethiopia
83,2003,4.004645705,10,Banja, Awi,Amhara, Ethiopia
83,2009,4.031106469,9,Banja, Awi,Amhara, Ethiopia
83,1990,4.075012856,8,Banja, Awi,Amhara, Ethiopia
83,2002,4.107378856,7,Banja, Awi,Amhara, Ethiopia
83,1983,4.164200533,6,Banja, Awi,Amhara, Ethiopia
83,1986,4.193168503,5,Banja, Awi,Amhara, Ethiopia
83,2004,4.255999459,4,Banja, Awi,Amhara, Ethiopia
83,2005,4.257462572,3,Banja, Awi,Amhara, Ethiopia
83,1994,4.292096836,2,Banja, Awi,Amhara, Ethiopia
83,1995,4.30971344,1,Banja, Awi,Amhara, Ethiopia
84,2009,3.701185815,10,Dangila, Awi,Amhara, Ethiopia
84,2002,3.773966052,9,Dangila, Awi,Amhara, Ethiopia
84,2003,3.92988248,8,Dangila, Awi,Amhara, Ethiopia
84,1994,4.008731446,7,Dangila, Awi,Amhara, Ethiopia
84,1984,4.028459219,6,Dangila, Awi,Amhara, Ethiopia
84,1986,4.055867105,5,Dangila, Awi,Amhara, Ethiopia
84,1995,4.066386908,4,Dangila, Awi,Amhara, Ethiopia
84,1983,4.0706507,3,Dangila, Awi,Amhara, Ethiopia
84,1990,4.075154357,2,Dangila, Awi,Amhara, Ethiopia
84,2011,4.115568111,1,Dangila, Awi,Amhara, Ethiopia
85,2009,3.892558871,10,Fagta Lakoma, Awi,Amhara, Ethiopia
85,2002,3.942057757,9,Fagta Lakoma, Awi,Amhara, Ethiopia
85,2003,4.001755595,8,Fagta Lakoma, Awi,Amhara, Ethiopia
85,1990,4.043353322,7,Fagta Lakoma, Awi,Amhara, Ethiopia
85,1986,4.118823585,6,Fagta Lakoma, Awi,Amhara, Ethiopia
85,1995,4.136921615,5,Fagta Lakoma, Awi,Amhara, Ethiopia
85,1983,4.209608439,4,Fagta Lakoma, Awi,Amhara, Ethiopia
85,2005,4.221832332,3,Fagta Lakoma, Awi,Amhara, Ethiopia
85,1994,4.227625639,2,Fagta Lakoma, Awi,Amhara, Ethiopia
85,1984,4.233629357,1,Fagta Lakoma, Awi,Amhara, Ethiopia
86,2009,3.638663258,10,Guangua, Awi,Amhara, Ethiopia
86,2002,3.671550577,9,Guangua, Awi,Amhara, Ethiopia
86,2003,3.721929899,8,Guangua, Awi,Amhara, Ethiopia
86,2011,3.930527348,7,Guangua, Awi,Amhara, Ethiopia
86,2004,3.964922876,6,Guangua, Awi,Amhara, Ethiopia
86,2005,3.979800873,5,Guangua, Awi,Amhara, Ethiopia
86,2001,4.00071178,4,Guangua, Awi,Amhara, Ethiopia
